0.005547 7.463404
0 0 0.0768696191015112
1 1 0.0000047119080487
2 0 0.0449466476340938
2 2 0.0446266475668533
3 1 0.0000063216880204
3 3 0.0000096565379580
4 0 0.0052376408921869
4 2 0.0325617636909939
4 4 0.0211377663395558
5 1 0.0000075977234350
5 3 0.0000116057142504
5 5 0.0000145485327483
6 0 0.0062348733020632
6 2 0.0226561683425281
6 4 0.0102811583706180
6 6 0.0152312484146975
7 1 0.0000086883291471
7 3 0.0000132716419929
7 5 0.0000166368836930
7 7 0.0000194276945837
8 0 0.0036731033195503
8 2 0.0120536840842001
8 4 0.0138277692077898
8 6 0.0336054634041609
8 8 0.0191717942898630
9 1 0.0000096565379580
9 3 0.0000147506053811
9 5 0.0000184908624161
9 7 0.0000215926753015
9 9 0.0000243017542671
10 0 0.0035018452975547
10 2 0.0121942689206624
10 4 0.0362328131502721
10 6 0.0550776724560635
10 8 0.0227394217663632
10 10 0.0189774099482866
11 1 0.0000105361467007
11 3 0.0000160942299305
11 5 0.0000201751849259
11 7 0.0000235595402444
11 9 0.0000265153877261
11 11 0.0000291732692032
12 0 0.0122440324740638
12 2 0.0078942532464595
12 4 0.0493549406388855
12 6 0.0485413940433398
12 8 0.0372612818180622
12 10 0.0204997366630323
12 12 0.0114031782764306
13 1 0.0000113477772827
13 3 0.0000173340161227
13 5 0.0000217293391676
13 7 0.0000253744013993
13 9 0.0000285579465662
13 11 0.0000314205725246
13 13 0.0000340433318504
14 0 0.0082488846450774
14 2 0.0023394216134647
14 4 0.0396963240363543
14 6 0.0325674269606110
14 8 0.0345844134334974
14 10 0.0174973877623404
14 12 0.0088741376241753
14 14 0.0068298230486815
15 1 0.0000121051109574
15 3 0.0000184908624139
15 5 0.0000231795227416
15 7 0.0000270678509716
15 9 0.0000304638611779
15 11 0.0000335175345085
15 13 0.0000363153328664
15 15 0.0000389124874926
16 0 0.0042915657823736
16 2 0.0072026226110665
16 4 0.0190253172634651
16 6 0.0192718739576570
16 8 0.0234903987778006
16 10 0.0126545936109074
16 12 0.0066625748527053
16 14 0.0043688462675562
16 16 0.0047827551488234
17 1 0.0000128177756434
17 3 0.0000195794757375
17 5 0.0000245441717745
17 7 0.0000286614177246
17 9 0.0000322573613868
17 11 0.0000354908137593
17 13 0.0000384533270201
17 15 0.0000412033840424
17 17 0.0000437810387514
18 0 0.0010751480894010
18 2 0.0078437495141787
18 4 0.0084922541493374
18 6 0.0098747000618701
18 8 0.0154164304824662
18 10 0.0095441279319852
18 12 0.0073954026040773
18 14 0.0045516959454502
18 16 0.0023425115728226
18 18 0.0028312488745790
19 1 0.0000134928513257
19 3 0.0000206106708656
19 5 0.0000258368431217
19 7 0.0000301709326474
19 9 0.0000339562643659
19 11 0.0000373600134262
19 13 0.0000404785537867
19 15 0.0000433734484474
19 17 0.0000460868608586
19 19 0.0000486491670778
20 0 0.0007642849448069
20 2 0.0028348802991553
20 4 0.0070919324585224
20 6 0.0066434612188824
20 8 0.0102834778820942
20 10 0.0140692897125113
20 12 0.0128022074132753
20 14 0.0050608799611194
20 16 0.0035939198928263
20 18 0.0028830660028364
20 20 0.0027845121471673
21 1 0.0000141357230223
21 3 0.0000215926750965
21 5 0.0000270678507773
21 7 0.0000316084399493
21 9 0.0000355741256336
21 11 0.0000391400478363
21 13 0.0000424071724407
21 15 0.0000454399956416
21 17 0.0000482826897909
21 19 0.0000509670782266
21 21 0.0000535169878870
22 0 0.0007522925346064
22 2 0.0042274761539761
22 4 0.0040562315943530
22 6 0.0088643477281622
22 8 0.0109867745895315
22 10 0.0134526891641578
22 12 0.0124176233444615
22 14 0.0105410674110956
22 16 0.0046892985703938
22 18 0.0044500814789768
22 20 0.0040188147624892
22 22 0.0033292762210617
23 1 0.0000147506083497
23 3 0.0000225319232344
23 5 0.0000282452577343
23 7 0.0000329833566262
23 9 0.0000371215431168
23 11 0.0000408425768792
23 13 0.0000442518161461
23 15 0.0000474165622723
23 17 0.0000503829090373
23 19 0.0000531840640471
23 21 0.0000558448906709
23 23 0.0000583845780968
24 0 0.0006117576519923
24 2 0.0014709335497355
24 4 0.0035518828406029
24 6 0.0104493239473790
24 8 0.0112994687287855
24 10 0.0100836448129431
24 12 0.0144205640785609
24 14 0.0120355000395561
24 16 0.0102633601206393
24 18 0.0062970282974634
24 20 0.0042457541294890
24 22 0.0063049625399054
24 24 0.0038056893334567
25 1 0.0000153408622068
25 3 0.0000234335535993
25 5 0.0000293755074530
25 7 0.0000343032020874
25 9 0.0000386069871782
25 11 0.0000424769210456
25 13 0.0000460225835947
25 15 0.0000493139691363
25 17 0.0000523990163325
25 19 0.0000553122615170
25 21 0.0000580795629771
25 23 0.0000607208777692
25 25 0.0000632519909450
