0.009555 7.903213
0 0 0.0702718840373145
1 1 0.0000000000000002
2 0 0.0526220663589742
2 2 0.0255813328464674
3 1 0.0000000000000001
3 3 0.0000000000000002
4 0 0.0170955412370363
4 2 0.0250798726956304
4 4 0.0198833706226430
5 1 0.0000000000000001
5 3 0.0000000000000002
5 5 0.0000000000000001
6 0 0.0115761377871235
6 2 0.0258556864948213
6 4 0.0403119759653201
6 6 0.0171115392830722
7 1 0.0000000000000002
7 3 0.0000000000000004
7 5 0.0000000000000002
7 7 0.0000000000000002
8 0 0.0074063543875138
8 2 0.0291007757042954
8 4 0.0353171481390802
8 6 0.0274793398797086
8 8 0.0160383614543963
9 1 0.0000000000000001
9 3 0.0000000000000002
9 5 0.0000000000000002
9 7 0.0000000000000004
9 9 0.0000000000000002
10 0 0.0047086036794631
10 2 0.0102928162712769
10 4 0.0254479492186553
10 6 0.0301024666068160
10 8 0.0303325799564928
10 10 0.0111660906595748
11 1 0.0000000000000002
11 3 0.0000000000000003
11 5 0.0000000000000002
11 7 0.0000000000000004
11 9 0.0000000000000003
11 11 0.0000000000000002
12 0 0.0106468630731288
12 2 0.0176813228205837
12 4 0.0549422297022802
12 6 0.0223398542879139
12 8 0.0364324025275055
12 10 0.0135635563972129
12 12 0.0111302718839228
13 1 0.0000000000000003
13 3 0.0000000000000004
13 5 0.0000000000000003
13 7 0.0000000000000003
13 9 0.0000000000000003
13 11 0.0000000000000002
13 13 0.0000000000000002
14 0 0.0073945631348858
14 2 0.0195956343221934
14 4 0.0462544937277293
14 6 0.0146784512302155
14 8 0.0255706774368301
14 10 0.0197381091473872
14 12 0.0096493624817910
14 14 0.0072698030935273
15 1 0.0000000000000009
15 3 0.0000000000000007
15 5 0.0000000000000007
15 7 0.0000000000000002
15 9 0.0000000000000002
15 11 0.0000000000000002
15 13 0.0000000000000001
15 15 0.0000000000000001
16 0 0.0057050505792534
16 2 0.0141432331775995
16 4 0.0251464954245350
16 6 0.0108290611479867
16 8 0.0141185631959539
16 10 0.0196905716766965
16 12 0.0073187557086862
16 14 0.0068033422174649
16 16 0.0049231896358770
17 1 0.0000000000000030
17 3 0.0000000000000021
17 5 0.0000000000000064
17 7 0.0000000000000016
17 9 0.0000000000000005
17 11 0.0000000000000003
17 13 0.0000000000000001
17 15 0.0000000000000001
17 17 0.0000000000000001
18 0 0.0042772496268989
18 2 0.0035305163808589
18 4 0.0125973237073584
18 6 0.0089335255238778
18 8 0.0138876347556479
18 10 0.0100392880883609
18 12 0.0075298865947661
18 14 0.0030037473937736
18 16 0.0031046073751695
18 18 0.0020348021628885
19 1 0.0000000000000167
19 3 0.0000000000000194
19 5 0.0000000000000315
19 7 0.0000000000000069
19 9 0.0000000000000040
19 11 0.0000000000000005
19 13 0.0000000000000002
19 15 0.0000000000000001
19 17 0.0000000000000000
19 19 0.0000000000000001
20 0 0.0032293405545204
20 2 0.0088440596496839
20 4 0.0104316438528985
20 6 0.0045742131806918
20 8 0.0134927479852746
20 10 0.0053519796366307
20 12 0.0087177784643773
20 14 0.0064902616118039
20 16 0.0040861889997045
20 18 0.0009966203973234
20 20 0.0028215713288238
21 1 0.0000000000000835
21 3 0.0000000000002818
21 5 0.0000000000001496
21 7 0.0000000000001334
21 9 0.0000000000000111
21 11 0.0000000000000069
21 13 0.0000000000000019
21 15 0.0000000000000003
21 17 0.0000000000000001
21 19 0.0000000000000001
21 21 0.0000000000000001
22 0 0.0034263862935452
22 2 0.0098450629757748
22 4 0.0082514286953845
22 6 0.0088198090396633
22 8 0.0103464983508526
22 10 0.0077626665233293
22 12 0.0062549166246499
22 14 0.0099264200736194
22 16 0.0054135119059143
22 18 0.0049730639128964
22 20 0.0025507312090242
22 22 0.0037594568259227
23 1 0.0000000000003309
23 3 0.0000000000018558
23 5 0.0000000000005657
23 7 0.0000000000009850
23 9 0.0000000000002266
23 11 0.0000000000000451
23 13 0.0000000000000130
23 15 0.0000000000000033
23 17 0.0000000000000003
23 19 0.0000000000000001
23 21 0.0000000000000001
23 23 0.0000000000000001
24 0 0.0020699292583225
24 2 0.0055028697239132
24 4 0.0068090234408415
24 6 0.0133160817254177
24 8 0.0119991280930702
24 10 0.0050411561838921
24 12 0.0064584715455812
24 14 0.0074618607639801
24 16 0.0105200324092563
24 18 0.0049165488169181
24 20 0.0057769493997092
24 22 0.0026629121529518
24 24 0.0035337841470274
25 1 0.0000000000010097
25 3 0.0000000000071734
25 5 0.0000000000040620
25 7 0.0000000000015691
25 9 0.0000000000009842
25 11 0.0000000000009543
25 13 0.0000000000001819
25 15 0.0000000000000483
25 17 0.0000000000000057
25 19 0.0000000000000007
25 21 0.0000000000000002
25 23 0.0000000000000001
25 25 0.0000000000000001
