0.012770 6.229243
0 0 0.0683406083470122
1 1 0.0092925663686085
2 0 0.0432627058417697
2 2 0.0451260719466483
3 1 0.0135074628837926
3 3 0.0077195033066996
4 0 0.0109208601776240
4 2 0.0349279549525682
4 4 0.0218809593713553
5 1 0.0015066299728617
5 3 0.0216455561026123
5 5 0.0083228394744372
6 0 0.0139065098047402
6 2 0.0118177567359407
6 4 0.0120160283553764
6 6 0.0116016638391148
7 1 0.0128018832069383
7 3 0.0202708970151756
7 5 0.0118826872152235
7 7 0.0172629825312907
8 0 0.0028148494986644
8 2 0.0071246083961622
8 4 0.0279361008062830
8 6 0.0210808232723457
8 8 0.0124730879151375
9 1 0.0060040086709517
9 3 0.0105502023932842
9 5 0.0112197561802172
9 7 0.0219773427381255
9 9 0.0202972968253786
10 0 0.0078143900786333
10 2 0.0269787598357153
10 4 0.0338132422379716
10 6 0.0390266438712493
10 8 0.0221436685937902
10 10 0.0102862965343822
11 1 0.0217626439687515
11 3 0.0212127090313165
11 5 0.0177961734271458
11 7 0.0314486050056311
11 9 0.0261818882138143
11 11 0.0146403208476067
12 0 0.0044912563263481
12 2 0.0253028254571467
12 4 0.0259471313760177
12 6 0.0431498625999904
12 8 0.0243789416487935
12 10 0.0138864486395772
12 12 0.0074261501051980
13 1 0.0214795633664347
13 3 0.0244412680791749
13 5 0.0208269597787520
13 7 0.0310525150146318
13 9 0.0208488281271058
13 11 0.0176676320134603
13 13 0.0075404990053630
14 0 0.0018658922962686
14 2 0.0137356437553478
14 4 0.0164130859858249
14 6 0.0308427303763614
14 8 0.0210387869320723
14 10 0.0117088397928420
14 12 0.0073920661438985
14 14 0.0048931439911006
15 1 0.0131482467453785
15 3 0.0170232129821823
15 5 0.0146581585048099
15 7 0.0219865450367659
15 9 0.0119297298732135
15 11 0.0132925135993853
15 13 0.0068616589335124
15 15 0.0028715721163664
16 0 0.0025745503641454
16 2 0.0031780133445729
16 4 0.0095077571327174
16 6 0.0126714321216430
16 8 0.0167173852216378
16 10 0.0072614219621053
16 12 0.0054954282938400
16 14 0.0037573864504624
16 16 0.0029828751967834
17 1 0.0055518257076368
17 3 0.0101534524476939
17 5 0.0109923438076070
17 7 0.0113422545321640
17 9 0.0087269904359002
17 11 0.0077528299767763
17 13 0.0040199422544164
17 15 0.0020723735458684
17 17 0.0011675312266855
18 0 0.0017683874197994
18 2 0.0035751989293700
18 4 0.0067942722671120
18 6 0.0063278347828543
18 8 0.0108924336749121
18 10 0.0090908452377409
18 12 0.0049566499638151
18 14 0.0020281553984999
18 16 0.0019463285098996
18 18 0.0009913823289334
19 1 0.0008871463205939
19 3 0.0032000767955962
19 5 0.0090747154159955
19 7 0.0082260440305664
19 9 0.0080649907559260
19 11 0.0079793118893281
19 13 0.0030893216179577
19 15 0.0012687412024857
19 17 0.0020734750555199
19 19 0.0004806504986074
20 0 0.0008637414228354
20 2 0.0049055659693143
20 4 0.0064021259671280
20 6 0.0090956949451699
20 8 0.0066166755295261
20 10 0.0108479028443317
20 12 0.0063293556712139
20 14 0.0048863003683688
20 16 0.0017591974633198
20 18 0.0025505694237050
20 20 0.0008693245447257
21 1 0.0014811752129605
21 3 0.0058258983301505
21 5 0.0091717524397749
21 7 0.0110860768951712
21 9 0.0060546100402165
21 11 0.0099830558830905
21 13 0.0071075995639331
21 15 0.0041238737019892
21 17 0.0020176259320361
21 19 0.0026165791951034
21 21 0.0014010532703697
22 0 0.0006552684502377
22 2 0.0043826274540465
22 4 0.0049282788263370
22 6 0.0082165209767758
22 8 0.0095527225496149
22 10 0.0080537575245523
22 12 0.0089584228803148
22 14 0.0067294179413900
22 16 0.0050571413603339
22 18 0.0043700831196113
22 20 0.0036050995642137
22 22 0.0017235386660027
23 1 0.0024555115171237
23 3 0.0089714770938246
23 5 0.0085438035190817
23 7 0.0089786317142321
23 9 0.0068939242393992
23 11 0.0093323890699347
23 13 0.0126037746637655
23 15 0.0056159839891746
23 17 0.0055072351977595
23 19 0.0036424030252028
23 21 0.0035933448901460
23 23 0.0023527418546661
24 0 0.0003324718565421
24 2 0.0021947977994217
24 4 0.0064637481822677
24 6 0.0073830345210460
24 8 0.0095596417211189
24 10 0.0052042018548344
24 12 0.0084259847682259
24 14 0.0077662460571853
24 16 0.0065135828468239
24 18 0.0060618436647640
24 20 0.0050876510279460
24 22 0.0034273044200412
24 24 0.0018256339270042
25 1 0.0019914482173336
25 3 0.0074402365730198
25 5 0.0062061983591929
25 7 0.0086184591945855
25 9 0.0097736688585336
25 11 0.0084246479445951
25 13 0.0128678145832809
25 15 0.0074723151557628
25 17 0.0060837846352528
25 19 0.0054715572120610
25 21 0.0042960100810530
25 23 0.0037278320012305
25 25 0.0027114676118483
