0.143160 3.338697
0 0 0.0399014411715416
1 1 0.0052292723726751
2 0 0.0431045850621520
2 2 0.0174683867241974
3 1 0.0078491326824980
3 3 0.0064911277009089
4 0 0.0082319979715344
4 2 0.0361495837265792
4 4 0.0142139432701635
5 1 0.0099284105887787
5 3 0.0156127594372270
5 5 0.0064104258357442
6 0 0.0069123022481126
6 2 0.0267661429499143
6 4 0.0377455655011379
6 6 0.0041633410388474
7 1 0.0051626473675618
7 3 0.0180283421774401
7 5 0.0219260036058504
7 7 0.0050183848453541
8 0 0.0041072809599517
8 2 0.0147660188371070
8 4 0.0408293207683988
8 6 0.0139550797638762
8 8 0.0030954957376835
9 1 0.0094685339069212
9 3 0.0224167201622568
9 5 0.0342579299126398
9 7 0.0172773690119034
9 9 0.0015550074809983
10 0 0.0115789874365664
10 2 0.0308588836553200
10 4 0.0293168953238726
10 6 0.0207806126033006
10 8 0.0124474989227550
10 10 0.0013736304070547
11 1 0.0041346535525257
11 3 0.0193100348122204
11 5 0.0326377933569357
11 7 0.0248982614481127
11 9 0.0059991162387851
11 11 0.0006863133095270
12 0 0.0093688948465273
12 2 0.0345985769338316
12 4 0.0241971088148029
12 6 0.0200001549352161
12 8 0.0223368093011905
12 10 0.0053298420734072
12 12 0.0008169885551211
13 1 0.0047404408508274
13 3 0.0079322354969100
13 5 0.0208486909847636
13 7 0.0213034630761879
13 9 0.0098957611717447
13 11 0.0029122195077379
13 13 0.0004360193837724
14 0 0.0073649562220155
14 2 0.0255925291282424
14 4 0.0173475296739085
14 6 0.0141836129989256
14 8 0.0240209919179028
14 10 0.0082133943813128
14 12 0.0033688914950382
14 14 0.0002568250231489
15 1 0.0014733526312365
15 3 0.0063579083839821
15 5 0.0095267275620368
15 7 0.0154714012077243
15 9 0.0101655532486944
15 11 0.0053910732043643
15 13 0.0017479801116022
15 15 0.0002464996040938
16 0 0.0057957369176519
16 2 0.0143100820500302
16 4 0.0128144462257059
16 6 0.0077863031295572
16 8 0.0173083331524827
16 10 0.0069152640501809
16 12 0.0049321280599909
16 14 0.0011079177907738
16 16 0.0001385030943716
17 1 0.0006162068169383
17 3 0.0026035975946630
17 5 0.0030824864685538
17 7 0.0107750173721961
17 9 0.0086649648314019
17 11 0.0064422291556610
17 13 0.0023830111469073
17 15 0.0009233802056079
17 17 0.0000854493136128
18 0 0.0022472479010474
18 2 0.0069402763088789
18 4 0.0127642820390426
18 6 0.0053906297808068
18 8 0.0099473455705662
18 10 0.0054913638111815
18 12 0.0030835874371761
18 14 0.0017272677915153
18 16 0.0005298470624456
18 18 0.0000632182441483
19 1 0.0013185369585142
19 3 0.0013396134459054
19 5 0.0022895202500757
19 7 0.0062369518407025
19 9 0.0065849972481388
19 11 0.0062195943468402
19 13 0.0031949120415319
19 15 0.0007910395370715
19 17 0.0003576082538164
19 19 0.0000438015780363
20 0 0.0001539408457012
20 2 0.0035675473025943
20 4 0.0115324971516925
20 6 0.0065236738184407
20 8 0.0069314042396407
20 10 0.0042279010380240
20 12 0.0061458750561562
20 14 0.0017524627948117
20 16 0.0006374048915515
20 18 0.0002072171470427
20 20 0.0000318404866387
21 1 0.0003198919232605
21 3 0.0016430968940594
21 5 0.0018723620528141
21 7 0.0042878422547476
21 9 0.0055098267687130
21 11 0.0045736208728529
21 13 0.0066047078981847
21 15 0.0026828346394617
21 17 0.0005227551493189
21 19 0.0001629191390956
21 21 0.0000244758297096
22 0 0.0003005757855982
22 2 0.0043063247351829
22 4 0.0059597040315488
22 6 0.0079041001363071
22 8 0.0048809918079141
22 10 0.0046715094818128
22 12 0.0063209177239591
22 14 0.0047348133771345
22 16 0.0021761436873223
22 18 0.0003568577721762
22 20 0.0001075184655222
22 22 0.0000134296889836
23 1 0.0014872562035438
23 3 0.0034961230079759
23 5 0.0032048400790613
23 7 0.0042071511395919
23 9 0.0063686210126665
23 11 0.0056878290892369
23 13 0.0068879586577539
23 15 0.0060608099348450
23 17 0.0018025424049751
23 19 0.0002469088612164
23 21 0.0000719699650238
23 23 0.0000120562006070
24 0 0.0009768402623027
24 2 0.0061212906236489
24 4 0.0022280938695387
24 6 0.0069760301951078
24 8 0.0027870134902404
24 10 0.0076317457913441
24 12 0.0062764195981164
24 14 0.0076356760326265
24 16 0.0048000971826902
24 18 0.0020172904285005
24 20 0.0002469869022366
24 22 0.0000403593715675
24 24 0.0000084014305621
25 1 0.0013089609026912
25 3 0.0026275158271558
25 5 0.0021567452580208
25 7 0.0043663478271270
25 9 0.0057520216170360
25 11 0.0066440467496608
25 13 0.0069847184220488
25 15 0.0060989016448021
25 17 0.0045888015698320
25 19 0.0014419859668073
25 21 0.0002253044663280
25 23 0.0000419344282426
25 25 0.0000067951637359
